track.album.album_type,track.album.external_urls.spotify,track.album.name,track.album.release_date,track.album.total_tracks,track.artists,track.duration_sec,track.id,track.name,track.popularity,context.type,context.href,context.external_urls.spotify,context.uri,artist_names
album,https://open.spotify.com/album/6AnYRqJHyeEzt2zviudTMH,Bittersweet,2003-06-11,16,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vytZ677lz4LzCrUDcDokM'}, 'href': 'https://api.spotify.com/v1/artists/6vytZ677lz4LzCrUDcDokM', 'id': '6vytZ677lz4LzCrUDcDokM', 'name': 'Blu Cantrell', 'type': 'artist', 'uri': 'spotify:artist:6vytZ677lz4LzCrUDcDokM'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9'}, 'href': 'https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9', 'id': '3Isy6kedDrgPYoTS1dazA9', 'name': 'Sean Paul', 'type': 'artist', 'uri': 'spotify:artist:3Isy6kedDrgPYoTS1dazA9'}]",228.0,1BPybPVkDfUjFDvqG04l58,Breathe (feat. Sean Paul) - Rap Version,68,,,,,"['Blu Cantrell', 'Sean Paul']"
album,https://open.spotify.com/album/32Bu3ETQhR1PFCj3ndDlYf,The Trinity,2005-09-27,18,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9'}, 'href': 'https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9', 'id': '3Isy6kedDrgPYoTS1dazA9', 'name': 'Sean Paul', 'type': 'artist', 'uri': 'spotify:artist:3Isy6kedDrgPYoTS1dazA9'}]",213.066,4kOTDj4SiZPkW1p96WMDNv,We Be Burnin',66,,,,,['Sean Paul']
album,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5,Get Rich Or Die Tryin',2003-02-06,20,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh'}, 'href': 'https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh', 'id': '3q7HBObVc0L8jNeTe5Gofh', 'name': '50 Cent', 'type': 'artist', 'uri': 'spotify:artist:3q7HBObVc0L8jNeTe5Gofh'}]",196.626,6mcu7D7QuABVwUGDwovOEh,If I Can't,72,,,,,['50 Cent']
album,https://open.spotify.com/album/6HzHon4QSFPGPFIjjlZN0n,My Krazy Life,2014-03-18,14,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY'}, 'href': 'https://api.spotify.com/v1/artists/0A0FS04o6zMoto8OKPsDwY', 'id': '0A0FS04o6zMoto8OKPsDwY', 'name': 'YG', 'type': 'artist', 'uri': 'spotify:artist:0A0FS04o6zMoto8OKPsDwY'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]",233.515,7ngdkrVQPgP3AoIxUrTpHT,Who Do You Love?,66,,,,,"['YG', 'Drake']"
album,https://open.spotify.com/album/6aAGx3HGsNoWvn6rMRHXBm,Curtis,2007-01-01,17,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh'}, 'href': 'https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh', 'id': '3q7HBObVc0L8jNeTe5Gofh', 'name': '50 Cent', 'type': 'artist', 'uri': 'spotify:artist:3q7HBObVc0L8jNeTe5Gofh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7'}, 'href': 'https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7', 'id': '31TPClRtHm23RisEBtV3X7', 'name': 'Justin Timberlake', 'type': 'artist', 'uri': 'spotify:artist:31TPClRtHm23RisEBtV3X7'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ'}, 'href': 'https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ', 'id': '5Y5TRrQiqgUO4S36tzjIRZ', 'name': 'Timbaland', 'type': 'artist', 'uri': 'spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ'}]",247.946,6kfQDanT6Buh4Wu73ghbav,Ayo Technology,69,,,,,"['50 Cent', 'Justin Timberlake', 'Timbaland']"
album,https://open.spotify.com/album/76QqoE30i9HVwxtxYMkWXT,J.Lo,2001-01-23,16,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR'}, 'href': 'https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR', 'id': '2DlGxzQSjYe5N6G9nkYghR', 'name': 'Jennifer Lopez', 'type': 'artist', 'uri': 'spotify:artist:2DlGxzQSjYe5N6G9nkYghR'}]",221.226,1fgvJXlcZ7uIddMpqsqw0L,Love Don't Cost a Thing,66,,,,,['Jennifer Lopez']
album,https://open.spotify.com/album/0waAfKYTW2g5VAsmbPDbjP,Indépendance,2021-12-10,23,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3IW7ScrzXmPvZhB27hmfgy'}, 'href': 'https://api.spotify.com/v1/artists/3IW7ScrzXmPvZhB27hmfgy', 'id': '3IW7ScrzXmPvZhB27hmfgy', 'name': 'Jul', 'type': 'artist', 'uri': 'spotify:artist:3IW7ScrzXmPvZhB27hmfgy'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6W5uA6CNMf3hd2j4a2XWCx'}, 'href': 'https://api.spotify.com/v1/artists/6W5uA6CNMf3hd2j4a2XWCx', 'id': '6W5uA6CNMf3hd2j4a2XWCx', 'name': 'Naps', 'type': 'artist', 'uri': 'spotify:artist:6W5uA6CNMf3hd2j4a2XWCx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4az97MtWmBQ5Db3GfDh9j9'}, 'href': 'https://api.spotify.com/v1/artists/4az97MtWmBQ5Db3GfDh9j9', 'id': '4az97MtWmBQ5Db3GfDh9j9', 'name': 'Morad', 'type': 'artist', 'uri': 'spotify:artist:4az97MtWmBQ5Db3GfDh9j9'}]",315.466,1Nht2kJWRqq6upZCOTKsSA,Toda la noche,52,,,,,"['Jul', 'Naps', 'Morad']"
single,https://open.spotify.com/album/7IdlBOwOeXlriuPRozrkKz,Twin (feat. Lil Durk),2022-11-14,1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB'}, 'href': 'https://api.spotify.com/v1/artists/757aE44tKEUQEqRuT6GnEB', 'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch', 'type': 'artist', 'uri': 'spotify:artist:757aE44tKEUQEqRuT6GnEB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3hcs9uc56yIGFCSy9leWe7'}, 'href': 'https://api.spotify.com/v1/artists/3hcs9uc56yIGFCSy9leWe7', 'id': '3hcs9uc56yIGFCSy9leWe7', 'name': 'Lil Durk', 'type': 'artist', 'uri': 'spotify:artist:3hcs9uc56yIGFCSy9leWe7'}]",148.855,5B40Td13cDQ4adeAiLf8Z4,Twin (feat. Lil Durk),50,,,,,"['Roddy Ricch', 'Lil Durk']"
single,https://open.spotify.com/album/77HpsjuhHrcZhIp0PyiROw,Una Noche en Medellín,2022-01-21,1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yj5Xey7kTwvZla8sqdsdE'}, 'href': 'https://api.spotify.com/v1/artists/1Yj5Xey7kTwvZla8sqdsdE', 'id': '1Yj5Xey7kTwvZla8sqdsdE', 'name': 'Cris Mj', 'type': 'artist', 'uri': 'spotify:artist:1Yj5Xey7kTwvZla8sqdsdE'}]",153.75,0lREs0EdgrMQQKw00yx0Ct,Una Noche en Medellín,79,,,,,['Cris Mj']
single,https://open.spotify.com/album/45GIEj8DhZu8zUPTWokULu,Something Else,2021-02-19,5,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4TAoP0f9OuWZUesao43xUW'}, 'href': 'https://api.spotify.com/v1/artists/4TAoP0f9OuWZUesao43xUW', 'id': '4TAoP0f9OuWZUesao43xUW', 'name': 'Mr Eazi', 'type': 'artist', 'uri': 'spotify:artist:4TAoP0f9OuWZUesao43xUW'}]",119.29,5PRU9ErsMVSRNzDeczXanb,Saudi Arabia,45,,,,,['Mr Eazi']
album,https://open.spotify.com/album/4aZ5mACoXg9oVBAX08u4fv,God is Bigger Than Man,2021-11-26,7,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/72Z2AhMKpxZjLNnPMyinUE'}, 'href': 'https://api.spotify.com/v1/artists/72Z2AhMKpxZjLNnPMyinUE', 'id': '72Z2AhMKpxZjLNnPMyinUE', 'name': 'Skiibii', 'type': 'artist', 'uri': 'spotify:artist:72Z2AhMKpxZjLNnPMyinUE'}]",146.729,64b6EiCQT4RtPTNQw3OHYZ,Tinga,40,,,,,['Skiibii']
single,https://open.spotify.com/album/6SHZjDJD8769qn7l5kGp4r,Boucan (feat. Franglish),2024-04-25,1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7x3eTVPlBiPjXHn3qotY86'}, 'href': 'https://api.spotify.com/v1/artists/7x3eTVPlBiPjXHn3qotY86', 'id': '7x3eTVPlBiPjXHn3qotY86', 'name': 'KeBlack', 'type': 'artist', 'uri': 'spotify:artist:7x3eTVPlBiPjXHn3qotY86'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4uJNQGa3L2frXDxwgouTIw'}, 'href': 'https://api.spotify.com/v1/artists/4uJNQGa3L2frXDxwgouTIw', 'id': '4uJNQGa3L2frXDxwgouTIw', 'name': 'Franglish', 'type': 'artist', 'uri': 'spotify:artist:4uJNQGa3L2frXDxwgouTIw'}]",171.216,6jElwivDtkQUv9QFGrdN26,Boucan (feat. Franglish),76,,,,,"['KeBlack', 'Franglish']"
single,https://open.spotify.com/album/4M8ThNHbNjda2cPwL8XZHS,Move,2024-06-07,1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk'}, 'href': 'https://api.spotify.com/v1/artists/2loEsOijJ6XiGzWYFXMIRk', 'id': '2loEsOijJ6XiGzWYFXMIRk', 'name': 'Adam Port', 'type': 'artist', 'uri': 'spotify:artist:2loEsOijJ6XiGzWYFXMIRk'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6XjgqvaVLUib6lCerbZrYD'}, 'href': 'https://api.spotify.com/v1/artists/6XjgqvaVLUib6lCerbZrYD', 'id': '6XjgqvaVLUib6lCerbZrYD', 'name': 'Stryv', 'type': 'artist', 'uri': 'spotify:artist:6XjgqvaVLUib6lCerbZrYD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/26WKgv73kRHD0gEDKD1i8j'}, 'href': 'https://api.spotify.com/v1/artists/26WKgv73kRHD0gEDKD1i8j', 'id': '26WKgv73kRHD0gEDKD1i8j', 'name': 'Keinemusik', 'type': 'artist', 'uri': 'spotify:artist:26WKgv73kRHD0gEDKD1i8j'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2yyaNPcdxZcn4iutCcLMaC'}, 'href': 'https://api.spotify.com/v1/artists/2yyaNPcdxZcn4iutCcLMaC', 'id': '2yyaNPcdxZcn4iutCcLMaC', 'name': 'Orso', 'type': 'artist', 'uri': 'spotify:artist:2yyaNPcdxZcn4iutCcLMaC'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/37lTKHi901VnwngQ7C8noT'}, 'href': 'https://api.spotify.com/v1/artists/37lTKHi901VnwngQ7C8noT', 'id': '37lTKHi901VnwngQ7C8noT', 'name': 'Malachiii', 'type': 'artist', 'uri': 'spotify:artist:37lTKHi901VnwngQ7C8noT'}]",177.598,1BJJbSX6muJVF2AK7uH1x4,Move,91,,,,,"['Adam Port', 'Stryv', 'Keinemusik', 'Orso', 'Malachiii']"
single,https://open.spotify.com/album/4M8ThNHbNjda2cPwL8XZHS,Move,2024-06-07,1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk'}, 'href': 'https://api.spotify.com/v1/artists/2loEsOijJ6XiGzWYFXMIRk', 'id': '2loEsOijJ6XiGzWYFXMIRk', 'name': 'Adam Port', 'type': 'artist', 'uri': 'spotify:artist:2loEsOijJ6XiGzWYFXMIRk'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6XjgqvaVLUib6lCerbZrYD'}, 'href': 'https://api.spotify.com/v1/artists/6XjgqvaVLUib6lCerbZrYD', 'id': '6XjgqvaVLUib6lCerbZrYD', 'name': 'Stryv', 'type': 'artist', 'uri': 'spotify:artist:6XjgqvaVLUib6lCerbZrYD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/26WKgv73kRHD0gEDKD1i8j'}, 'href': 'https://api.spotify.com/v1/artists/26WKgv73kRHD0gEDKD1i8j', 'id': '26WKgv73kRHD0gEDKD1i8j', 'name': 'Keinemusik', 'type': 'artist', 'uri': 'spotify:artist:26WKgv73kRHD0gEDKD1i8j'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2yyaNPcdxZcn4iutCcLMaC'}, 'href': 'https://api.spotify.com/v1/artists/2yyaNPcdxZcn4iutCcLMaC', 'id': '2yyaNPcdxZcn4iutCcLMaC', 'name': 'Orso', 'type': 'artist', 'uri': 'spotify:artist:2yyaNPcdxZcn4iutCcLMaC'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/37lTKHi901VnwngQ7C8noT'}, 'href': 'https://api.spotify.com/v1/artists/37lTKHi901VnwngQ7C8noT', 'id': '37lTKHi901VnwngQ7C8noT', 'name': 'Malachiii', 'type': 'artist', 'uri': 'spotify:artist:37lTKHi901VnwngQ7C8noT'}]",177.598,1BJJbSX6muJVF2AK7uH1x4,Move,91,,,,,"['Adam Port', 'Stryv', 'Keinemusik', 'Orso', 'Malachiii']"
album,https://open.spotify.com/album/76QqoE30i9HVwxtxYMkWXT,J.Lo,2001-01-23,16,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR'}, 'href': 'https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR', 'id': '2DlGxzQSjYe5N6G9nkYghR', 'name': 'Jennifer Lopez', 'type': 'artist', 'uri': 'spotify:artist:2DlGxzQSjYe5N6G9nkYghR'}]",221.226,1fgvJXlcZ7uIddMpqsqw0L,Love Don't Cost a Thing,66,,,,,['Jennifer Lopez']
album,https://open.spotify.com/album/76QqoE30i9HVwxtxYMkWXT,J.Lo,2001-01-23,16,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR'}, 'href': 'https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR', 'id': '2DlGxzQSjYe5N6G9nkYghR', 'name': 'Jennifer Lopez', 'type': 'artist', 'uri': 'spotify:artist:2DlGxzQSjYe5N6G9nkYghR'}]",221.226,1fgvJXlcZ7uIddMpqsqw0L,Love Don't Cost a Thing,66,,,,,['Jennifer Lopez']
